,Iteration,B Type,Constructor,Land Cost,CC1,CC2,Net OP 1,A3 P1,A3 P2,A4 P1,A4 P2,A5 P1,A5 P2,A6 P1,A6 P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-After-Education,U3-After-Education,Subsidy Level,Subsidy Left,A3 Constructor Amount,Green A3 Demand,Green A3 Total Built,Green A3 Amount left,A4 Constructor Amount,Green A4 Demand,Green A4 Total Built,Green A4 Amount left,A5 Constructor Amount,Green A5 Demand,Green A5 Total Built,Green A5 Amount left,A6 Constructor Amount,Green A6 Demand,Green A6 Total Built,Green A6 Amount left,H1,H2,Total Green Apartments,Constructor Profit
56,6,B6,7,463951,231215620,240905399,13.5%,1086112,1151279,1276860,1353472,1461250,1548925,1645640,1744378,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,31214080.0,31214080.0,341.0,31214080.0
57,6,B6,8,463951,231215620,240905399,13.25%,1083720,1148743,1274048,1350491,1458031,1545513,1642015,1740536,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,30636070.0,30636070.0,341.0,30636070.0
58,6,B6,9,463951,231215620,240905399,13.0%,1081328,1146207,1271235,1347509,1454813,1542102,1638390,1736694,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,30058030.0,30058030.0,341.0,30058030.0
59,6,B6,10,463951,231215620,240905399,12.75%,1078935,1143671,1268423,1344528,1451594,1538690,1634766,1732852,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,29479990.0,29479990.0,341.0,29479990.0
60,7,B7,1,246097,187644820,197334599,15.0%,849934,900930,1043203,1105795,1230030,1303831,1416856,1501868,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,50.0,35.0,80.0,137,80.0,57.0,50.0,85,50.0,35.0,20.0,34,20.0,14.0,28146740.0,31404490.0,200.0,31404490.0
61,7,B7,2,246097,187644820,197334599,14.75%,848086,898971,1040935,1103391,1227356,1300997,1413776,1498603,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,27677600.0,29954483.0,341.0,29954483.0
62,7,B7,3,246097,187644820,197334599,14.5%,846239,897013,1038667,1100987,1224682,1298163,1410696,1495338,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,27208510.0,27208510.0,341.0,27208510.0
63,7,B7,4,246097,187644820,197334599,14.25%,844391,895054,1036399,1098583,1222008,1295328,1407616,1492073,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,26739370.0,26739370.0,341.0,26739370.0
64,7,B7,5,246097,187644820,197334599,14.0%,842543,893096,1034132,1096180,1219334,1292494,1404536,1488808,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,26270310.0,26270310.0,341.0,26270310.0
65,7,B7,6,246097,187644820,197334599,13.75%,840696,891137,1031864,1093776,1216660,1289659,1401456,1485543,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,25801220.0,25801220.0,341.0,25801220.0
